year/month,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
2022/02,22.0,1.0,33.0,4.0,20.0,35.0,13.0,0.0,5.0,10.0,0.0,20.0,35.0,22.0,0.0,19.0,32.0,7.0,60.0,13.0,7.0,4.0,12.0,38.0,3.0,7.0,9.0
2022/03,20.0,1.0,29.0,7.0,29.0,23.0,11.0,3.0,4.0,5.0,5.0,20.0,21.0,33.0,2.0,15.0,26.0,6.0,71.0,50.0,8.0,6.0,13.0,22.0,4.0,16.0,11.0
2022/04,27.0,2.0,25.0,6.0,18.0,30.0,16.0,0.0,7.0,5.0,6.0,16.0,23.0,23.0,4.0,18.0,17.0,8.0,73.0,8.0,9.0,2.0,18.0,32.0,3.0,17.0,7.0
2022/05,24.0,5.0,40.0,4.0,23.0,32.0,20.0,1.0,7.0,3.0,2.0,17.0,25.0,23.0,7.0,11.0,14.0,5.0,71.0,16.0,8.0,5.0,15.0,26.0,1.0,20.0,7.0
2022/06,25.0,4.0,33.0,5.0,24.0,30.0,7.0,0.0,7.0,11.0,4.0,14.0,30.0,28.0,1.0,22.0,29.0,5.0,76.0,9.0,5.0,3.0,16.0,23.0,4.0,14.0,9.0
2022/07,26.0,9.0,32.0,2.0,18.0,35.0,17.0,2.0,5.0,14.0,4.0,17.0,29.0,23.0,2.0,22.0,18.0,14.0,68.0,7.0,6.0,12.0,16.0,26.0,2.0,21.0,13.0
2022/08,20.0,3.0,39.0,1.0,35.0,42.0,18.0,0.0,8.0,7.0,1.0,16.0,29.0,31.0,1.0,12.0,17.0,3.0,65.0,15.0,8.0,5.0,15.0,14.0,5.0,9.0,5.0
2022/09,34.0,3.0,33.0,8.0,31.0,40.0,23.0,2.0,3.0,7.0,6.0,27.0,31.0,41.0,6.0,22.0,19.0,6.0,92.0,9.0,4.0,9.0,9.0,17.0,4.0,30.0,20.0
2022/10,34.0,2.0,34.0,4.0,18.0,31.0,16.0,0.0,9.0,7.0,2.0,16.0,39.0,26.0,7.0,23.0,24.0,3.0,67.0,17.0,5.0,3.0,17.0,22.0,3.0,24.0,9.0
2022/11,22.0,3.0,35.0,3.0,26.0,36.0,21.0,1.0,2.0,4.0,5.0,13.0,27.0,15.0,4.0,16.0,21.0,7.0,88.0,12.0,2.0,5.0,19.0,24.0,3.0,13.0,12.0
